DateTime,open,high,low,close,volume,quoteVolume,weightedAverage,date
3/17/2017 16:00:00,1149.99999999,1164.8,1101,1117.00000015,2590070.0733261,2291.25473911,1130.41558806,1489766400
3/17/2017 20:00:00,1122.19999981,1122.19999981,1061,1070,3030625.5310863,2782.55301832,1089.15284313,1489780800
3/18/2017 0:00:00,1070,1095.07999999,1052,1054.20000001,1963380.2099065,1835.47170091,1069.68699595,1489795200
3/18/2017 4:00:00,1054.39558392,1084.24999999,1049,1071.68456275,1827309.3425278,1719.41343153,1062.75158087,1489809600
3/18/2017 8:00:00,1071.68456275,1092.51421765,1055,1081.5380002,1429023.2008825,1331.73139426,1073.05662916,1489824000
3/18/2017 12:00:00,1081.5380002,1083.49900665,936,967.1,7849839.6423185,7861.36795874,998.53354829,1489838400
3/18/2017 16:00:00,967.10000003,1009.5,950.11,976.00000028,3400917.7105138,3460.25466755,982.85185261,1489852800
3/18/2017 20:00:00,976.00000028,981.00000029,935,966.00000029,3616402.6278349,3782.81187101,956.00911468,1489867200
3/19/2017 0:00:00,971.29066,1012.65559784,965.00000003,999.999999,2992574.9013805,3013.5560814,993.03773367,1489881600
3/19/2017 4:00:00,997,1011.69999973,976.74699448,1008.34761752,1392366.5801723,1395.47958919,997.76921924,1489896000
3/19/2017 8:00:00,1008,1011.69999973,973,992.00999999,1177251.1118601,1185.88545083,992.71907842,1489910400
3/19/2017 12:00:00,992.00999999,1033,982.78289997,1029.89898973,1768744.9948048,1767.69211494,1000.595624,1489924800
3/19/2017 16:00:00,1027.00000001,1063.456,1025.5,1052,3061497.0010501,2932.09188728,1044.13405812,1489939200
3/19/2017 20:00:00,1051,1055,1000,1015.1,1814894.9223581,1756.03817288,1033.51678248,1489953600
3/20/2017 0:00:00,1014,1047.26957025,1010,1033.77587672,920163.71991101,895.16420198,1027.92729856,1489968000
3/20/2017 4:00:00,1038.38999921,1041.42499999,1010.76891439,1028,996579.67847766,972.83258611,1024.41025589,1489982400
3/20/2017 8:00:00,1028,1045,1015.33414457,1045,665359.19881745,645.87462108,1030.16774014,1489996800
3/20/2017 12:00:00,1044.99999999,1053.49999998,1036,1043.24900016,1172964.576913,1122.94638202,1044.54192621,1490011200
3/20/2017 16:00:00,1043.24900091,1053.37608344,1011.68207623,1030.07340823,1106884.3715101,1063.59990519,1040.69619234,1490025600
3/20/2017 20:00:00,1032.45,1048.69999921,1026.1450002,1036.88000006,744830.64617555,717.13594835,1038.61847657,1490040000
3/21/2017 0:00:00,1036.88000006,1068.29633336,1034,1068.29633336,1502698.985394,1427.30372121,1052.8235603,1490054400
3/21/2017 4:00:00,1067.01,1086.88017423,1063.64016736,1076.00000022,1352185.3935504,1253.39337442,1078.81964365,1490068800
3/21/2017 8:00:00,1079.09900565,1085.93,1063.12621,1085.09582697,942196.89371276,877.71988617,1073.45966356,1490083200
3/21/2017 12:00:00,1085.46637783,1095,1080.51387198,1086.00100021,1862778.9317764,1708.74381734,1090.14523585,1490097600
3/21/2017 16:00:00,1086.4000002,1123.4,1084.1325,1112,2437812.3627345,2201.95573499,1107.11233836,1490112000
3/21/2017 20:00:00,1112.57716069,1120,1076,1117.97999765,1666244.7266734,1508.82541316,1104.33235823,1490126400
3/22/2017 0:00:00,1117.97999764,1118,1087,1092.49,693027.91384001,629.98842156,1100.06452519,1490140800
3/22/2017 4:00:00,1092.49,1105.99999923,1056,1059.89999994,1172689.7211933,1078.96310396,1086.86730518,1490155200
3/22/2017 8:00:00,1059.89999975,1084,1044.99999999,1062.3,2405155.7759555,2258.67774554,1064.85123019,1490169600
3/22/2017 12:00:00,1062.3,1072.49999995,1005.7194439,1016.15255751,3784650.0437787,3656.42718776,1035.06779964,1490184000
3/22/2017 16:00:00,1016.99999999,1035,986.22000007,1014.3,2227585.0659124,2211.20701236,1007.40683864,1490198400
3/22/2017 20:00:00,1014.3,1050.85918246,1000,1037.69999999,1318878.4029566,1294.16946129,1019.09250867,1490212800
3/23/2017 0:00:00,1034.82316026,1045.99999998,1023,1036.8,712068.88840595,688.34846816,1034.45990126,1490227200
3/23/2017 4:00:00,1036.98354563,1041.00000003,1002.52000002,1038.89,751498.26319438,730.68727679,1028.48138603,1490241600
3/23/2017 8:00:00,1038.8,1057.006,1027.13409301,1043.12000001,832269.11294867,800.43174809,1039.77523996,1490256000
3/23/2017 12:00:00,1044,1056.27999989,1043.12,1049.4,833209.11875673,794.70938901,1048.44504202,1490270400
3/23/2017 16:00:00,1049.39999958,1049.39999958,1034.34111111,1042.01,510983.9204878,491.10800308,1040.47158116,1490284800
3/23/2017 20:00:00,1042.00999998,1046.89999,1020.568209,1034.99999987,1467659.8163709,1416.58172448,1036.05728565,1490299200
3/24/2017 0:00:00,1034.99999983,1037.50588201,1013.00000123,1015.21199999,977994.2589935,955.45555069,1023.5894891,1490313600
3/24/2017 4:00:00,1015.21199999,1019.99999999,992.01396169,1015.9999999,1433886.4488114,1420.71928483,1009.26795611,1490328000
3/24/2017 8:00:00,1017.50000041,1020,980.99999984,991.99999997,1910040.7457314,1904.11214239,1003.11357887,1490342400
3/24/2017 12:00:00,988.10000019,998.04106804,955,989.49900666,3469423.0656101,3546.17468194,978.35650434,1490356800
3/24/2017 16:00:00,989.49900666,989.99999959,965.17995673,978,1730838.4789712,1771.52495732,977.0330764,1490371200
3/24/2017 20:00:00,977.00000006,979,930.1,942.51000039,3859217.051379,4067.10851834,948.88470125,1490385600
3/25/2017 0:00:00,946.79999997,967.40187689,925.49900667,927.99999997,2022025.4959231,2142.22966381,943.88829082,1490400000
3/25/2017 4:00:00,927.99999997,944,901,934.00000005,3180523.7042545,3471.2292477,916.25285375,1490414400
3/25/2017 8:00:00,932,933.98,888.98999998,909,2049336.2629842,2257.52916615,907.77842152,1490428800
3/25/2017 12:00:00,909,952.99,909,934.75101922,1972027.7428702,2110.84844305,934.23464359,1490443200
3/25/2017 16:00:00,935.49900666,957,920.98142601,942.80838859,1930279.5137637,2048.74079221,942.17849378,1490457600
3/25/2017 20:00:00,942.80838861,980.08958297,938.60000002,971.95083163,2385334.7437869,2480.8499527,961.49899803,1490472000
3/26/2017 0:00:00,971.95083163,976.00000018,955,971.99999966,1213593.7809223,1257.39327206,965.16643431,1490486400
3/26/2017 4:00:00,971.55555548,974.61300007,951.87475752,955.01000497,888009.20715525,920.03558878,965.19006219,1490500800
3/26/2017 8:00:00,957.99999881,981.46712149,948.42378187,971.00200079,716457.37064309,739.68602035,968.59660846,1490515200
3/26/2017 12:00:00,976.79099955,1008.49999999,973.00099999,996,2350398.6190882,2366.81998198,993.06184542,1490529600
3/26/2017 16:00:00,1000,1002.16549562,971.3344,981.16383051,1500373.8867856,1523.13105866,985.05895356,1490544000
3/26/2017 20:00:00,985.47757723,989.88722592,951.00000011,963.04740785,1749686.7890312,1816.14191202,963.40862872,1490558400
3/27/2017 0:00:00,966.99999999,980,957.673528,971,733362.35446344,757.44186705,968.20942486,1490572800
3/27/2017 4:00:00,973.42729705,992,967,991.89000001,623812.95815414,637.6225073,978.34212408,1490587200
3/27/2017 8:00:00,992,996,980.69,990.28842769,817494.12050587,826.1856684,989.47990962,1490601600
3/27/2017 12:00:00,990.74999998,1033.79999999,987.82538096,1030.5,3679568.0490004,3619.03495346,1016.72630862,1490616000
3/27/2017 16:00:00,1030.83172524,1032.99999991,1012.51,1015,1760474.1445524,1721.45196561,1022.66817763,1490630400
3/27/2017 20:00:00,1015,1046.52104237,1010,1040.25000001,2050911.4920012,1981.06055329,1035.25936579,1490644800
3/28/2017 0:00:00,1042.70581575,1045.68013392,1027.43999986,1036.85989491,1203232.0769198,1162.12294176,1035.37417056,1490659200
3/28/2017 4:00:00,1035.31,1047,1025.43999975,1047,643393.96146612,621.0145892,1036.03678988,1490673600
3/28/2017 8:00:00,1047,1065.70114175,1042.32721306,1065.69,1560608.4303344,1480.79925877,1053.89600993,1490688000
3/28/2017 12:00:00,1065.69,1066,1046.41822122,1057.3,1859567.0847762,1759.88653314,1056.64032865,1490702400
3/28/2017 16:00:00,1058.01,1058.12676884,1015.5,1027.71415376,1670026.4911825,1613.9499933,1034.7448794,1490716800
3/28/2017 20:00:00,1026.9999997,1046.4367886,1022.70460874,1042.34645781,851090.02442772,822.35206202,1034.94605745,1490731200
3/29/2017 0:00:00,1042,1045,1008,1012,1279567.1420313,1249.45162585,1024.1029869,1490745600
3/29/2017 4:00:00,1012.689277,1031.97999978,1012.1,1022.20536134,1029866.204676,1008.18635548,1021.50381135,1490760000
3/29/2017 8:00:00,1022.20536134,1057.98,1019.00000001,1051.00000001,1306089.2788064,1255.12208724,1040.60735771,1490774400
3/29/2017 12:00:00,1051.00000001,1055.54269519,1036.10974033,1041.10000003,865453.41909735,826.03795974,1047.71628094,1490788800
3/29/2017 16:00:00,1041.11595489,1048.8,1021.00000001,1040.78075063,750381.81892021,724.24350545,1036.09050446,1490803200
3/29/2017 20:00:00,1040.78075063,1045.00000007,1034.74019294,1040,917753.7386232,883.8254099,1038.38804399,1490817600
3/30/2017 0:00:00,1040,1053.29999995,1038.33000002,1043.00566862,799852.45111261,764.24968561,1046.58525371,1490832000
3/30/2017 4:00:00,1042.93552158,1048.86674165,1039.99999999,1047.53880204,555224.54893161,531.92706682,1043.79826401,1490846400
3/30/2017 8:00:00,1044.00000008,1048.46847319,1026.26513972,1030.69999998,1496135.6929894,1446.14669331,1034.56703245,1490860800
3/30/2017 12:00:00,1031.00000054,1037.85621753,1022,1029.88,1639748.7662048,1592.81197947,1029.46787652,1490875200
3/30/2017 16:00:00,1029.88,1040,1025.00000001,1031,1333604.0410056,1290.61332627,1033.31029818,1490889600
3/30/2017 20:00:00,1031.3,1044.27394255,1029,1040.59908959,1703999.8020968,1644.868774,1035.94878146,1490904000
3/31/2017 0:00:00,1040.59908959,1058.56999999,1036.79880654,1049,1646101.2402713,1568.92150058,1049.19286252,1490918400
3/31/2017 4:00:00,1047.09370538,1054.79727912,1041.00000001,1044.7564631,1818687.1707161,1734.68326093,1048.42607966,1490932800
3/31/2017 8:00:00,1048.38602312,1055.48962299,1042.13474729,1042.13474729,1480367.1365881,1410.73394276,1049.35955088,1490947200
3/31/2017 12:00:00,1042.5,1095,1042.12931639,1089.66999,2762059.3580713,2605.38470767,1060.13493897,1490961600
3/31/2017 16:00:00,1090.00000001,1090.00000001,1065,1079.98999998,1843161.0118061,1712.25374215,1076.45319524,1490976000
3/31/2017 20:00:00,1079.99,1086.50999998,1068.15273595,1081.36295113,1121787.6500832,1040.76225061,1077.85197764,1490990400
4/1/2017 0:00:00,1078.15705958,1085.99999997,1074,1080.38336464,729976.13724153,676.00095141,1079.84483708,1491004800
4/1/2017 4:00:00,1080,1096,1076.37372554,1095.99999999,954860.39549284,878.6234027,1086.76867991,1491019200
